ECPRI version,ECPRI Data Format Ecpri Message,Ecpri Payload Length,ecpriPcid,ecpriSeqid,dataDirection,payloadVersion,filterIndex,frameId,SubframeId,SlotId,Symbolid,SectionsID,rb,StartPrb,NumOfPrb,Sampling ,ByteStart,ByteEnd,TimeStamp(s),TimeStamp(us/ns),PacketOffsetTo10ms(ns),PacketOffsetTo10ms(utu),N1,PacketAdvanceToAif(ns)
1,0,1272,0,51584,1,1,0,243,4,0,12,1,0,183,45,9,75,1334,315965949,314172806,4172806,5127544,755,-255839.8
1,0,1272,0,51840,1,1,0,243,4,0,12,1,0,228,45,9,1389,2648,315965949,314173282,4173282,5128129,755,-255363.8
1,0,1300,128,50560,1,1,0,243,4,0,12,1,0,0,46,9,2703,3990,315965949,314173779,4173779,5128740,755,-254866.8
1,0,1300,128,50816,1,1,0,243,4,0,12,1,0,46,46,9,4045,5332,315965949,314174271,4174271,5129344,755,-254374.8
1,0,1300,128,51072,1,1,0,243,4,0,12,1,0,92,46,9,5387,6674,315965949,314174755,4174755,5129939,755,-253890.8
1,0,1272,128,51328,1,1,0,243,4,0,12,1,0,138,45,9,6729,7988,315965949,314175240,4175240,5130535,755,-253405.8
1,0,1272,128,51584,1,1,0,243,4,0,12,1,0,183,45,9,8043,9302,315965949,314175724,4175724,5131130,755,-252921.8
1,0,1272,128,51840,1,1,0,243,4,0,12,1,0,228,45,9,9357,10616,315965949,314176200,4176200,5131715,755,-252445.8
1,0,1300,0,52096,1,1,0,243,4,0,13,1,0,0,46,9,10671,11958,315965949,314206604,4206604,5169075,755,-257718.9
1,0,1300,0,52352,1,1,0,243,4,0,13,1,0,46,46,9,12013,13300,315965949,314207096,4207096,5169680,755,-257226.9
1,0,1300,0,52608,1,1,0,243,4,0,13,1,0,92,46,9,13355,14642,315965949,314207580,4207580,5170274,755,-256742.9
1,0,1272,0,52864,1,1,0,243,4,0,13,1,0,138,45,9,14697,15956,315965949,314208064,4208064,5170869,755,-256258.9
1,0,1272,0,53120,1,1,0,243,4,0,13,1,0,183,45,9,16011,17270,315965949,314208548,4208548,5171464,755,-255774.9
1,0,1272,0,53376,1,1,0,243,4,0,13,1,0,228,45,9,17325,18584,315965949,314209025,4209025,5172050,755,-255297.9
1,0,1300,128,52096,1,1,0,243,4,0,13,1,0,0,46,9,18639,19926,315965949,314209521,4209521,5172659,755,-254801.9
1,0,1300,128,52352,1,1,0,243,4,0,13,1,0,46,46,9,19981,21268,315965949,314210013,4210013,5173264,755,-254309.9
1,0,1300,128,52608,1,1,0,243,4,0,13,1,0,92,46,9,21323,22610,315965949,314210498,4210498,5173860,755,-253824.9
1,0,1272,128,52864,1,1,0,243,4,0,13,1,0,138,45,9,22665,23924,315965949,314210982,4210982,5174455,755,-253340.9
